INFO | 2019-06-18 09:44:24,150 | MainProcess | Listening on port 2500
INFO | 2019-06-18 09:44:24,150 | MainProcess | Connected to the known nodes db
INFO | 2019-06-18 09:44:24,201 | MainProcess | Connected to the hosts db
INFO | 2019-06-18 09:44:24,203 | MainProcess | Connection is closed with the hosts db
INFO | 2019-06-18 09:44:24,204 | MainProcess | Connection is closed with the known nodes db
INFO | 2019-06-18 09:44:24,312 | MainProcess | Connected to the known nodes db
INFO | 2019-06-18 09:44:24,312 | MainProcess | Acquiring lock
INFO | 2019-06-18 09:44:24,312 | MainProcess | Sending message to the known nodes- «({'address_from': '127.0.0.1', 'code': 7}
INFO | 2019-06-18 09:44:24,312 | MainProcess | Releasing lock
INFO | 2019-06-18 09:44:26,312 | MainProcess | Searching for the updated chain
INFO | 2019-06-18 09:44:26,312 | MainProcess | Acquiring lock
INFO | 2019-06-18 09:44:26,312 | MainProcess | Sending message to the known nodes- «:{'address_from': '127.0.0.1', 'code': 1, 'best_height': 1}
INFO | 2019-06-18 09:44:26,312 | MainProcess | Releasing lock
INFO | 2019-06-18 09:44:28,313 | MainProcess | The best height in the network is 1
INFO | 2019-06-18 09:44:28,313 | MainProcess | The chain is updated
INFO | 2019-06-18 09:44:28,450 | MainProcess | Connected to the known nodes db
INFO | 2019-06-18 09:45:25,549 | MainProcess | received new connection from 172.16.79.237:54268
INFO | 2019-06-18 09:45:25,644 | MainProcess | Address 172.16.79.237was inserted to the data base
INFO | 2019-06-18 09:45:25,644 | MainProcess | Handle get addresses message from 172.16.79.237
INFO | 2019-06-18 09:45:25,644 | MainProcess | Sending message- «9{'address_from': '127.0.0.1', 'code': 8, 'addresses': []} to- 172.16.79.237
INFO | 2019-06-18 09:45:27,552 | MainProcess | received new connection from 172.16.79.237:54269
INFO | 2019-06-18 09:45:27,552 | MainProcess | Handle version message from 172.16.79.237
INFO | 2019-06-18 09:45:36,029 | MainProcess | Acquiring lock
INFO | 2019-06-18 09:45:36,029 | MainProcess | Sending message to the known nodes- «ò{'address_from': '127.0.0.1', 'code': 3, 'hash_codes': ['17d0e7d8cc7cfb4bfd3adf7ea0c6487ccb9bf3cc08314909d60774c7e4997fd1'], 'data_type': 'transaction'}
INFO | 2019-06-18 09:45:36,030 | MainProcess | Sending message- «ò{'address_from': '127.0.0.1', 'code': 3, 'hash_codes': ['17d0e7d8cc7cfb4bfd3adf7ea0c6487ccb9bf3cc08314909d60774c7e4997fd1'], 'data_type': 'transaction'} to- 172.16.79.237
INFO | 2019-06-18 09:45:36,030 | MainProcess | Releasing lock
INFO | 2019-06-18 09:45:36,084 | MainProcess | received new connection from 172.16.79.237:54270
INFO | 2019-06-18 09:45:36,085 | MainProcess | Handle get data message from 172.16.79.237
INFO | 2019-06-18 09:45:36,088 | MainProcess | Sending message- »{'inputs': ['(\'45fef1cd902419766f542a800fff2966b691fde7a407f80c878ac86bae974278\', 0, \'["j\\\\x9d\\\\x80\\\\xd4\\\\xeb\\\\xcf\\\\x9d\\\\xc4v\\\\x8a8\\\\xffIJ`\\\\x8f\\\\xd9x[\\\\xdbxd\\\\x07\\\\xd7\\\\xbc\\\\xdcs\\\\xbe\\\\x13\\\\xf6\\\\xb9\\\\xc5\\\\x07\\\\x15o\\\\xc0J\\\\xaf}\\\\x8e\\\\xd76\\\\xf6\\\\x07\\\\xaf7\\\\x85\\\\xa4\\\\xfe\\\\x9d\\\\x9e\\\\xad\\\\x13n\\\\x91\\\\xb3\\\\x96\\\\x81:R!\\\\xab\\\\xc3\\\\x81\\\\x8b\\\\x03Fo\\\\xcc\\\\xb7\\\\x8b\\\\xe1Y\\\\x88\\\\xde#*\\\\x14\\\\xc7\\\\xde\\\\x11\\\\xb1,\\\\x9e\\\\xe5C\\\\x13\\\\xf8>\\\\x85\\\\xc0\\\\x18\\\\xe6j\\\\xbb\\\\x97\\\\x91s\\\\x05\\\\x91\\\\xcb>\\\\xcf\\\\x0c\\\\xc6\\\\xe7/V\\\\x19|\\\\xd4\\\\xbd\\\\xef\\\\xfa\\\\xbfH\\\\x0f\\\\x02$\\\\xa8\\\\xac\\\\xa6\\\\x99\\\\xa4\\\\x97\\\\xf0\\\\x10\\\\x986\\\\xfd\\\\xa5B\\\\x87B\\\\x10\\\\x04\\\\xffhj\\\\xcd\\\\xce~$\\\\x80cC7l\\\\xea\\\\xef\\\\xa45W\\\\n\\\\xb1\\\\xd3\\\\x82Z\\\\x88\\\\xe8\\\\x00H\\\\xbcT\\\\x97\\\\xd87\\\\xdeH\\\\xf0^t\\\\x05k\\\\xc9\\\\xd0%\\\\x07c\\\\xad\\\\xeb5@\\\\xc0\\\\xee\\\\xa9\\\\x0e\\\\xb6\\\\xf3\\\\xee~ME6&lB/32\\\\xca\\\\xea-\\\\xce9\\\\xe5!\\\\x0b\\\\x82b\\\\xcc\\\\xfc\\\\x05-zF\\\\x1d\\\\x96\\\\xd1\\\\xaf[\\\\xacS\\\\x04\\\\x19\\\\xe2\\\\ri\\\\x12\\\\xb6wp\\\\xf3\\\\x08\\\\xc0I`\\\\x98\\\\xb6>\\\\xde\\\\x06\\\\xf6\\\\xda\\\\xa0\\\\xd6\\\\xbf\\\\xcd\\\\xbc;\\\\x0e\\\\xcf\\\\xf8 \\\\xe0\\\'", \\\'-----BEGIN PUBLIC KEY-----\\\\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAq1ADWAs+V2yHev6cW/U4\\\\nyHWFsOh4qFvAerwgrUYHy+DQrXD4q4hmuxVPefAhORG/HciOhozCxgOUeCT2Zd29\\\\nKKMaU1ZrQtQRXU0mmlHqWcbw3C7dgAVbxDI7u11C+mhG8MvVtA6z7k9mgXCv7Pna\\\\n/UknMv4aHuB6vWsycbrJiOK0h5UDoC0WTQV3yMID0Ha1eKtD79+0e0aoS6GoyrNd\\\\nQQQqc8DAboUSHh4TAR15TK+m0/Rnow7X7a9j1x3roAAaZx9A/UIlorhglm2bXtyh\\\\nYWiFZb7TFZ5tMDUmR1q11y2zbKY7DjhmxPZjuDCiASHc9TofasKZZNbbDdi+/N0m\\\\nxwIDAQAB\\\\n-----END PUBLIC KEY-----\\\']\')'], 'address_from': '127.0.0.1', 'transaction': '17d0e7d8cc7cfb4bfd3adf7ea0c6487ccb9bf3cc08314909d60774c7e4997fd1', 'outputs': ["(12, 'aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa')", "(38.0, 'c1e7121e36c580efa24c0a482a1c994ffdb3c084')"]} to- 172.16.79.237
INFO | 2019-06-18 09:45:38,891 | MainProcess | received new connection from 172.16.79.237:54272
INFO | 2019-06-18 09:45:38,891 | MainProcess | Handle inv message from 172.16.79.237
INFO | 2019-06-18 09:45:38,891 | MainProcess | Sending message- «è{'address_from': '127.0.0.1', 'code': 4, 'hash_code': '00001c772c23da4d16267328d7864d90559902c19c2eedcf2a3ed8e39a1540aa', 'data_type': 'block'} to- 172.16.79.237
INFO | 2019-06-18 09:45:38,894 | MainProcess | received new connection from 172.16.79.237:54273
INFO | 2019-06-18 09:45:40,894 | MainProcess | Handle block message
INFO | 2019-06-18 09:45:40,898 | MainProcess | Received legal block
